Calling Party,Called Party,IMEI,IMSI,Call Date,Call Type,Start Time,End Time,Duration (seconds)
8141167670,7834106647,411332291877105,089447716798660,2025-01-27,Missed Call,17:30:32,N/A,0
8141167670,7106582310,411332291877105,089447716798660,2025-01-09,Missed Call,02:40:57,N/A,0
8141167670,7106582310,411332291877105,089447716798660,2025-02-03,Voice Out,21:27:40,23:11:53,6253
8141167670,7106582310,411332291877105,089447716798660,2025-02-11,SMS In,15:33:41,N/A,0
8141167670,8137802694,411332291877105,089447716798660,2025-01-14,Voice In,11:38:50,13:29:10,6620
8141167670,8137802694,411332291877105,089447716798660,2025-01-08,Voice In,22:19:25,23:45:45,5180
8141167670,9591790087,411332291877105,089447716798660,2025-01-07,Voice In,19:19:41,21:09:27,6586
8141167670,7834106647,411332291877105,089447716798660,2025-01-30,Voice Out,22:16:48,23:37:11,4823
8141167670,7834106647,411332291877105,089447716798660,2025-01-28,SMS In,15:08:55,N/A,0
8141167670,7805621410,411332291877105,089447716798660,2025-01-17,SMS Out,02:20:21,N/A,0
8141167670,8784499045,411332291877105,089447716798660,2025-01-15,Voice In,13:59:45,15:52:42,6777
8141167670,7834106647,411332291877105,089447716798660,2025-02-11,Voice In,03:02:14,04:33:50,5496
8141167670,7328906989,411332291877105,089447716798660,2025-01-17,SMS Out,01:21:59,N/A,0
8141167670,7805621410,411332291877105,089447716798660,2025-02-03,Missed Call,09:14:42,N/A,0
8141167670,7106582310,411332291877105,089447716798660,2025-02-08,Voice Out,06:13:01,06:25:00,719
8141167670,8387816575,411332291877105,089447716798660,2025-01-23,Missed Call,07:13:53,N/A,0
8141167670,8784499045,411332291877105,089447716798660,2025-02-04,SMS In,18:35:44,N/A,0
8141167670,7834106647,411332291877105,089447716798660,2025-02-03,Data Call,17:16:48,17:43:04,1576
8141167670,8784499045,411332291877105,089447716798660,2025-01-13,Voice In,10:36:13,12:20:45,6272
8141167670,9591790087,411332291877105,089447716798660,2025-01-18,Voice In,06:52:17,08:08:28,4571
8141167670,9591790087,411332291877105,089447716798660,2025-01-30,Data Call,03:17:42,04:38:59,4877
7805621410,8387816575,558425567894694,970889136760755,2025-01-06,SMS Out,06:24:08,N/A,0
7805621410,8387816575,558425567894694,970889136760755,2025-02-03,SMS Out,18:30:16,N/A,0
7805621410,7106582310,558425567894694,970889136760755,2025-01-21,Voice Out,00:01:34,00:11:21,587
7805621410,9591790087,558425567894694,970889136760755,2025-01-22,Data Call,07:25:55,07:59:00,1985
7805621410,8141167670,558425567894694,970889136760755,2025-01-03,Missed Call,10:35:21,N/A,0
7805621410,8387816575,558425567894694,970889136760755,2025-02-11,Voice In,20:01:09,20:46:55,2746
7805621410,8137802694,558425567894694,970889136760755,2025-01-25,Data Call,14:20:41,16:03:32,6171
7805621410,7834106647,558425567894694,970889136760755,2025-01-20,SMS In,18:55:58,N/A,0
7805621410,8784499045,558425567894694,970889136760755,2025-01-03,Voice Out,08:01:34,08:08:19,405
7805621410,7328906989,558425567894694,970889136760755,2025-02-07,Voice Out,23:56:52,00:01:23,271
7805621410,8784499045,558425567894694,970889136760755,2025-02-03,Voice In,14:50:31,16:47:38,7027
7805621410,8387816575,558425567894694,970889136760755,2025-01-22,SMS Out,18:50:14,N/A,0
7805621410,8651516983,558425567894694,970889136760755,2025-01-15,Missed Call,19:04:35,N/A,0
7805621410,8141167670,558425567894694,970889136760755,2025-02-05,SMS Out,13:25:45,N/A,0
7805621410,8387816575,558425567894694,970889136760755,2025-01-04,SMS In,17:49:12,N/A,0
7805621410,7834106647,558425567894694,970889136760755,2025-01-16,Voice Out,11:15:46,12:17:12,3686
7805621410,9591790087,558425567894694,970889136760755,2025-02-02,Voice Out,03:57:30,05:02:24,3894
7805621410,8387816575,558425567894694,970889136760755,2025-01-09,Missed Call,22:53:47,N/A,0
7805621410,7328906989,558425567894694,970889136760755,2025-01-20,Voice Out,12:11:09,13:24:01,4372
7805621410,7834106647,558425567894694,970889136760755,2025-01-11,Voice Out,15:16:25,16:49:56,5611
7106582310,8651516983,896512904402348,750857308717069,2025-01-14,SMS In,09:22:26,N/A,0
7106582310,7805621410,896512904402348,750857308717069,2025-01-14,Data Call,10:02:31,11:07:34,3903
7106582310,8387816575,896512904402348,750857308717069,2025-02-04,Missed Call,05:39:54,N/A,0
7106582310,8137802694,896512904402348,750857308717069,2025-02-09,Voice In,04:47:43,05:16:47,1744
7106582310,8387816575,896512904402348,750857308717069,2025-01-26,Voice Out,06:38:52,08:38:04,7152
7106582310,8141167670,896512904402348,750857308717069,2025-01-31,Missed Call,18:57:46,N/A,0
7106582310,9591790087,896512904402348,750857308717069,2025-01-04,Voice In,23:15:26,00:06:48,3082
7106582310,9591790087,896512904402348,750857308717069,2025-01-16,SMS In,18:51:33,N/A,0
7106582310,8137802694,896512904402348,750857308717069,2025-01-19,Missed Call,22:03:34,N/A,0
7106582310,7328906989,896512904402348,750857308717069,2025-01-26,Voice In,20:04:19,21:18:33,4454
